continent,year,countries_count,total_population,total_gdp,total_emissions,total_primary_energy,total_fossil_fuel,total_renewables,fossil_share,renewables_share,emissions_per_capita,energy_per_capita,gdp_per_capita,data_level,country,iso_code
North America,2019,23,585638156,23077185054528,6500.04,33820.018,26853.935,3791.3929999999996,79.4024858295463,11.210499651419465,1.1099071898587154e-5,5.7749000220538904e-5,39405.19383530058,Continent,North America,NA
North America,2020,23,589427396,22250778424832,5812.6,31337.005,24334.89,3951.377,77.65544282231183,12.60930009105848,9.861435079953428e-6,5.3165165400625525e-5,37749.82054758785,Continent,North America,NA
North America,2021,23,592300820,23560036777344,6130.95,32873.222,25736.306,4114.924,78.28957563088888,12.517556082576874,1.0351074644806334e-5,5.550088888953421e-5,39777.14698646543,Continent,North America,NA
North America,2022,23,595504150,24107263385728,6240.11,32922.419,26219.556,4427.162,79.64042982382308,13.447256108367977,1.047870111400567e-5,5.528495309394569e-5,40482.10811919279,Continent,North America,NA
Oceania,2015,12,39457355,1300085587968,485.34000000000003,1893.913,1656.656,196.809,87.47265581893149,10.391660018174013,1.2300368334370107e-5,4.799898523355151e-5,32949.13173901292,Continent,Oceania,NA
Oceania,2016,12,40154772,1337385402368,490.65,1904.385,1647.371,214.81599999999997,86.50409449769873,11.280072044255755,1.2218971134987392e-5,4.7426119117299435e-5,33305.76506244388,Continent,Oceania,NA
Oceania,2017,12,40870754,1372020850688,495.59999999999997,1903.5149999999999,1657.246,204.24599999999998,87.06240822898691,10.729939086374419,1.2126030266043048e-5,4.657401231208017e-5,33569.746491293015,Continent,Oceania,NA
Oceania,2018,12,41593492,1413022662656,495.5,1927.355,1650.571,232.887,85.6391790822137,12.083243616251288,1.1912921377219301e-5,4.6337898246196784e-5,33972.20561947528,Continent,Oceania,NA
Oceania,2019,12,42332242,1442780037120,498.13,1988.323,1697.3880000000001,246.14100000000002,85.36782001717025,12.379326698931713,1.1767153745365058e-5,4.696947069328386e-5,34082.29682519532,Continent,Oceania,NA
Oceania,2020,12,42986365,1417231122432,479.46000000000004,1859.532,1558.8939999999998,265.48900000000003,83.83259873989799,14.277194476889887,1.1153769340580439e-5,4.32586472477959e-5,32969.31765298136,Continent,Oceania,NA
Oceania,2021,12,43542481,1493017575424,467.58,1860.18,1524.735,299.889,81.9670677031255,16.121504370544788,1.0738478590597536e-5,4.2721038334953857e-05,34288.75757961518,Continent,Oceania,NA
Oceania,2022,10,43959294,1544854257664,457.28,1893.227,1561.764,331.463,82.49216813409062,17.50783186590937,1.040235086578051e-5,4.306772988665378e-5,35142.83595327987,Continent,Oceania,NA
South America,2015,12,412873997,6006699405312,1446.47,7162.276,4740.842,2053.439,66.19183622636156,28.67020204192075,3.503417532976774e-6,1.734736518173122e-5,14548.504989312756,Continent,South America,NA
South America,2016,12,416835454,5842709336064,1385.6399999999999,7114.706999999999,4627.352,2090.148,65.03924898101918,29.377850697154507,3.3241894054434246e-6,1.706838257572975e-5,14016.82433678974,Continent,South America,NA
South America,2017,12,420709668,5874108628992,1345.98,7153.404,4587.912,2182.462,64.1360672485435,30.50941901226325,3.1993084599139755e-6,1.700318424819275e-5,13962.380890643093,Continent,South America,NA
South America,2018,12,424460408,5889928675328,1276.94,7072.219,4388.723,2293.725,62.055813034070354,32.432889875158,3.0083842354502945e-6,1.6661669420060493e-5,13876.273415182695,Continent,South America,NA
South America,2019,12,428030401,5867295961088,1220.75,7008.246999999999,4265.171,2365.045,60.859313320435206,33.74659882849449,2.852017046331249e-6,1.6373245880728925e-5,13707.661762763435,Continent,South America,NA
South America,2020,12,431235363,5491170209792,1062.01,6502.148,3798.593,2358.609,58.42058655078291,36.2743050450405,2.4627154707625403e-6,1.5077956396632527e-5,12733.580501356055,Continent,South America,NA
South America,2021,12,433952919,5886276366336,1165.47,7002.142,4311.783,2350.584,61.57805711452296,33.569499161827906,2.685706096149108e-6,1.6135718169924328e-5,13564.320249072918,Continent,South America,NA
South America,2022,12,436508310,6112130240512,1184.97,7086.125,4422.261,2608.757,62.40732417223801,36.815001146606924,2.7146562226959666e-6,1.6233654291713256e-5,14002.322751912787,Continent,South America,NA
