country,year,iso_code,population,gdp,primary_energy_consumption,fossil_fuel_consumption,coal_consumption,oil_consumption,gas_consumption,low_carbon_consumption,nuclear_consumption,renewables_consumption,hydro_consumption,solar_consumption,wind_consumption,biofuel_consumption,other_renewable_consumption,calc_fossil_share_energy,calc_coal_share_energy,calc_oil_share_energy,calc_gas_share_energy,calc_low_carbon_share_energy,calc_nuclear_share_energy,calc_renewables_share_energy,calc_hydro_share_energy,calc_solar_share_energy,calc_wind_share_energy,calc_biofuel_share_energy,calc_other_renewable_share_energy
Australia,2017,AUS,24590336,1197832929280,1601.646,1493.625,521.526,599.256,372.844,108.02,0,108.02,35.927,23.732,35.158,1.834,11.369,93.25562577498398,32.561876969068074,37.415009309173186,23.27880193251193,6.7443117892468125,0,6.7443117892468125,2.24312988013581,1.48172567471214,2.1951167736191395,0.11450720071726213,0.7098322600624607
Australia,2018,AUS,24979228,1231576891392,1624.987,1490.425,508.882,609.635,371.908,134.563,0,134.563,45.801,32.627,43.025,1.655,11.454,91.71919529202387,31.316065913142687,37.51630013040104,22.886829248480144,8.280866246929975,0,8.280866246929975,2.8185456252880794,2.007831447266963,2.6477134894002226,0.10184696862190282,0.7048671773989577
Australia,2019,AUS,25357168,1255505526784,1679.844,1530.746,486.392,603.784,440.57,149.098,0,149.098,36.958,48.229,51.327,1.514,11.07,91.1242948750003,28.95459340272073,35.94286136093589,26.22684011134367,8.875705124999703,0,8.875705124999703,2.200085246010939,2.87104040613295,3.0554622929272,0.09012741659344559,0.6589897633351668
Australia,2020,AUS,25670052,1232259776512,1585.126,1413.168,468.061,521.934,423.173,171.958,0,171.958,37.874,62.623,59.372,1.203,10.887,89.15177720887803,29.52831509924132,32.92697236686547,26.69648974277124,10.848222791121968,0,10.848222791121968,2.3893368729047406,3.950663858898283,3.745569752814603,0.07589302049174641,0.6868223724801688
Australia,2021,AUS,25921094,1296705126400,1589.075,1383.704,452.447,535.5,395.757,205.371,0,205.371,41.717,81.624,70.116,1.239,10.675,87.07606626496546,28.47235026666457,33.698849959882324,24.90486603841858,12.923933735034531,0,12.923933735034531,2.6252379528971255,5.136573163632931,4.41237827037742,0.07796988814247283,0.6717744599845823
Australia,2022,AUS,26177410,1344251494400,1661.016,1429.83,429.006,568.555,432.269,231.186,0,231.186,43.437,97.883,78.345,1.35,10.172,86.0816512303313,25.827927003713384,34.22935119228231,26.024373034335614,13.918348769668684,0,13.918348769668684,2.6150861882125156,5.892959489854402,4.7166914707624725,0.08127555664725686,0.6123962683080717
Austria,2015,AUT,8642422,358108266496,396.383,260.525,37.999,142.845,79.681,135.858,0,135.858,100.062,2.524,13.035,5.353,14.884,65.7255734983589,9.586435341576204,36.037115617975545,20.102022538807162,34.274426501641095,0,34.274426501641095,25.24376676093576,0.6367578831584604,3.288486135883729,1.3504615485527887,3.75495417311035
Austria,2016,AUT,8736491,365232717824,409.651,265.025,35.448,146.155,83.422,144.627,0,144.627,107.005,2.934,14.014,5.366,15.308,64.6953138159067,8.653219447773838,35.67793072639881,20.36416364173406,35.304930294323704,0,35.304930294323704,26.121015205626254,0.7162194160395068,3.4209607690448696,1.309895496410359,3.7368394072027162
Austria,2017,AUT,8797497,373481668608,417.569,273.692,36.565,146.429,90.699,143.877,0,143.877,101.911,3.377,17.489,5.352,15.748,65.5441376155797,8.756636627719011,35.067018863948235,21.72072160529158,34.4558623844203,0,34.4558623844203,24.405786828045184,0.8087286173063613,4.188289839523527,1.2817043410789593,3.7713527584662647
Austria,2018,AUT,8840518,382540021760,408.402,268.067,32.285,148.913,86.869,140.335,0,140.335,99.58,3.85,15.955,5.171,15.78,65.63802332016004,7.905201247790167,36.4623581667083,21.27046390566158,34.36197667983997,0,34.36197667983997,24.38283847777435,0.9426986155797474,3.906689977032434,1.2661544262760713,3.863840039960627
